BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,,,,,,,,,,,
door-proximity,,,,,,,,,,,,,,,,,,,,,,,,
06/09/2018 20:24:15:355 -0500,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,,Column Labels,,,,,,,,,,,
45,build my own!,2,1,FALSE,200,21,0,203,203,103.045,,,,,,,,,,,,,,
46,build my own!,2,1,FALSE,200,21,0,205,205,106.54,,,,,,,,,,,,,,
47,build my own!,2,1,FALSE,200,21,0,214,214,109.95,,,,,,,,,,,,,,
51,build my own!,2,3,FALSE,25,21,0,59,59,35.88,,,,,,,,,,,,,,
52,build my own!,2,3,FALSE,25,21,0,64,64,36.32,,,,,,,,,,,,,,
53,build my own!,2,3,FALSE,25,21,0,57,57,33.88,,,,,,,,,,,,,,
54,build my own!,2,3,FALSE,25,21,0,65,65,35.6,,,,,,,,,,,,,,
55,build my own!,2,3,FALSE,25,21,0,62,62,34.96,,,,,,,,,,,,,,
49,build my own!,2,1,FALSE,200,21,0,217,217,109.455,,,,,,,,,,,,,,
48,build my own!,2,1,FALSE,200,21,0,216,216,109.325,,,,,,,,,,,,,,
56,build my own!,2,3,FALSE,25,21,0,61,61,33.24,,,,,,,,,,,,,,
57,build my own!,2,3,FALSE,25,21,0,66,66,36.04,,,,,,,,,,,,,,
58,build my own!,2,3,FALSE,25,21,0,61,61,34.76,,,,,,,,,,,,,,
59,build my own!,2,3,FALSE,25,21,0,63,63,34.08,,,,,,,,,,,,,,
60,build my own!,2,3,FALSE,25,21,0,54,54,32.88,,,,,,,,,,,,,,
61,build my own!,2,3,FALSE,50,21,0,71,71,41.08,,,,,,,,,,,,,,
63,build my own!,2,3,FALSE,50,21,0,70,70,39.98,,,,,,,,,,,,,,
62,build my own!,2,3,FALSE,50,21,0,68,68,41.56,,,,,,,,,,,,,,
50,build my own!,2,1,FALSE,200,21,0,218,218,115.365,,,,,,,,,,,,,,
65,build my own!,2,3,FALSE,50,21,0,65,65,35.88,,,,,,,,,,,,,,
64,build my own!,2,3,FALSE,50,21,0,69,69,39.9,,,,,,,,,,,,,,
66,build my own!,2,3,FALSE,50,21,0,72,72,40.74,,,,,,,,,,,,,,
67,build my own!,2,3,FALSE,50,21,0,68,68,38.24,,,,,,,,,,,,,,
68,build my own!,2,3,FALSE,50,21,0,69,69,39.64,,,,,,,,,,,,,,
69,build my own!,2,3,FALSE,50,21,0,65,65,37.76,,,,,,,,,,,,,,
70,build my own!,2,3,FALSE,50,21,0,73,73,40.1,,,,,,,,,,,,,,
71,build my own!,2,3,FALSE,100,21,0,106,106,60.25,,,,,,,,,,,,,,
72,build my own!,2,3,FALSE,100,21,0,105,105,55.49,,,,,,,,,,,,,,
73,build my own!,2,3,FALSE,100,21,0,112,112,61.19,,,,,,,,,,,,,,
74,build my own!,2,3,FALSE,100,21,0,104,104,59.5,,,,,,,,,,,,,,
76,build my own!,2,3,FALSE,100,21,0,101,101,54.91,,,,,,,,,,,,,,
75,build my own!,2,3,FALSE,100,21,0,114,114,59.93,,,,,,,,,,,,,,
77,build my own!,2,3,FALSE,100,21,0,99,99,55.59,,,,,,,,,,,,,,
78,build my own!,2,3,FALSE,100,21,0,102,102,54.88,,,,,,,,,,,,,,
79,build my own!,2,3,FALSE,100,21,0,98,98,51.72,,,,,,,,,,,,,,
80,build my own!,2,3,FALSE,100,21,0,111,111,61.07,,,,,,,,,,,,,,
81,build my own!,2,3,FALSE,150,21,0,139,139,72.36666667,,,,,,,,,,,,,,
82,build my own!,2,3,FALSE,150,21,0,151,151,79.14666667,,,,,,,,,,,,,,
83,build my own!,2,3,FALSE,150,21,0,144,144,74.86666667,,,,,,,,,,,,,,
84,build my own!,2,3,FALSE,150,21,0,151,151,79.7,,,,,,,,,,,,,,
85,build my own!,2,3,FALSE,150,21,0,148,148,78.64,,,,,,,,,,,,,,
