BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,,,,,,
number-of-rooms,,,,,,,,,,,,,,,,,,,
06/10/2018 00:02:27:518 -0500,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,
-20,20,-20,20,,,,,,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,Average of ticks,Column Labels,,,,,,
61,build my own!,1,19,FALSE,25,7,6,97,97,58.88,,,,,,,,,
62,build my own!,1,19,FALSE,25,7,6,95,95,55.52,,,,,,,,,
63,build my own!,1,19,FALSE,25,7,6,98,98,54.48,,,,,,,,,
65,build my own!,1,19,FALSE,25,7,6,91,91,50.8,,,,,,,,,
64,build my own!,1,19,FALSE,25,7,6,94,94,50.52,,,,,,,,,
66,build my own!,1,19,FALSE,25,7,6,97,97,50,,,,,,,,,
67,build my own!,1,19,FALSE,25,7,6,99,99,57.24,,,,,,,,,
68,build my own!,1,19,FALSE,25,7,6,98,98,55.88,,,,,,,,,
70,build my own!,1,19,FALSE,25,7,6,99,99,59.08,,,,,,,,,
69,build my own!,1,19,FALSE,25,7,6,101,101,55.08,,,,,,,,,
71,build my own!,1,19,FALSE,25,7,6,102,102,52.4,,,,,,,,,
72,build my own!,1,19,FALSE,25,7,6,99,99,51.76,,,,,,,,,
73,build my own!,1,19,FALSE,25,7,6,92,92,48.24,,,,,,,,,
74,build my own!,1,19,FALSE,25,7,6,95,95,48.32,,,,,,,,,
75,build my own!,1,19,FALSE,25,7,6,100,100,58.28,,,,,,,,,
77,build my own!,1,19,FALSE,25,7,8,97,97,42.92,,,,,,,,,
76,build my own!,1,19,FALSE,25,7,8,97,97,58.6,,,,,,,,,
79,build my own!,1,19,FALSE,25,7,8,97,97,56.16,,,,,,,,,
78,build my own!,1,19,FALSE,25,7,8,101,101,52.96,,,,,,,,,
80,build my own!,1,19,FALSE,25,7,8,99,99,46.96,,,,,,,,,
81,build my own!,1,19,FALSE,25,7,8,99,99,53.76,,,,,,,,,
82,build my own!,1,19,FALSE,25,7,8,99,99,52.56,,,,,,,,,
83,build my own!,1,19,FALSE,25,7,8,99,99,45.96,,,,,,,,,
84,build my own!,1,19,FALSE,25,7,8,85,85,55.16,,,,,,,,,
85,build my own!,1,19,FALSE,25,7,8,101,101,54.32,,,,,,,,,
86,build my own!,1,19,FALSE,25,7,8,102,102,61.28,,,,,,,,,
88,build my own!,1,19,FALSE,25,7,8,102,102,58.72,,,,,,,,,
87,build my own!,1,19,FALSE,25,7,8,95,95,55.76,,,,,,,,,
89,build my own!,1,19,FALSE,25,7,8,102,102,57.52,,,,,,,,,
90,build my own!,1,19,FALSE,25,7,8,101,101,54.48,,,,,,,,,
91,build my own!,1,19,FALSE,25,7,8,103,103,56.8,,,,,,,,,
93,build my own!,1,19,FALSE,25,7,8,100,100,60.76,,,,,,,,,
92,build my own!,1,19,FALSE,25,7,8,103,103,47.48,,,,,,,,,
94,build my own!,1,19,FALSE,25,7,8,100,100,57.92,,,,,,,,,
95,build my own!,1,19,FALSE,25,7,8,107,107,57.96,,,,,,,,,
96,build my own!,1,19,FALSE,25,7,8,101,101,51.08,,,,,,,,,
97,build my own!,1,19,FALSE,25,7,8,100,100,56.72,,,,,,,,,
98,build my own!,1,19,FALSE,25,7,8,95,95,50.2,,,,,,,,,
99,build my own!,1,19,FALSE,25,7,8,89,89,42.2,,,,,,,,,
100,build my own!,1,19,FALSE,25,7,8,100,100,62.08,,,,,,,,,
102,build my own!,1,19,FALSE,25,7,10,83,83,50.24,,,,,,,,,
103,build my own!,1,19,FALSE,25,7,10,99,99,50.92,,,,,,,,,
101,build my own!,1,19,FALSE,25,7,10,99,99,59,,,,,,,,,
104,build my own!,1,19,FALSE,25,7,10,106,106,44.96,,,,,,,,,
105,build my own!,1,19,FALSE,25,7,10,93,93,46.48,,,,,,,,,
106,build my own!,1,19,FALSE,25,7,10,94,94,50.44,,,,,,,,,
107,build my own!,1,19,FALSE,25,7,10,104,104,58.2,,,,,,,,,
108,build my own!,1,19,FALSE,25,7,10,102,102,61.88,,,,,,,,,
109,build my own!,1,19,FALSE,25,7,10,101,101,63.52,,,,,,,,,
110,build my own!,1,19,FALSE,25,7,10,102,102,60.64,,,,,,,,,
112,build my own!,1,19,FALSE,25,7,10,96,96,55.6,,,,,,,,,
111,build my own!,1,19,FALSE,25,7,10,101,101,57.64,,,,,,,,,
113,build my own!,1,19,FALSE,25,7,10,111,111,58.48,,,,,,,,,
114,build my own!,1,19,FALSE,25,7,10,96,96,52.6,,,,,,,,,
115,build my own!,1,19,FALSE,25,7,10,102,102,51.24,,,,,,,,,
117,build my own!,1,19,FALSE,25,7,10,94,94,53.44,,,,,,,,,
116,build my own!,1,19,FALSE,25,7,10,97,97,55.92,,,,,,,,,
118,build my own!,1,19,FALSE,25,7,10,87,87,52.28,,,,,,,,,
119,build my own!,1,19,FALSE,25,7,10,103,103,57.68,,,,,,,,,
120,build my own!,1,19,FALSE,25,7,10,100,100,57.64,,,,,,,,,
122,build my own!,1,19,FALSE,25,7,10,95,95,56.44,,,,,,,,,
121,build my own!,1,19,FALSE,25,7,10,92,92,55.08,,,,,,,,,
123,build my own!,1,19,FALSE,25,7,10,101,101,53.56,,,,,,,,,
124,build my own!,1,19,FALSE,25,7,10,98,98,56.92,,,,,,,,,
125,build my own!,1,19,FALSE,25,7,10,95,95,57.52,,,,,,,,,
126,build my own!,1,19,FALSE,50,7,2,123,123,80.46,,,,,,,,,
127,build my own!,1,19,FALSE,50,7,2,130,130,83.9,,,,,,,,,
128,build my own!,1,19,FALSE,50,7,2,129,129,85.62,,,,,,,,,
129,build my own!,1,19,FALSE,50,7,2,133,133,84.08,,,,,,,,,
130,build my own!,1,19,FALSE,50,7,2,123,123,75.26,,,,,,,,,
132,build my own!,1,19,FALSE,50,7,2,129,129,81.92,,,,,,,,,
131,build my own!,1,19,FALSE,50,7,2,131,131,85.9,,,,,,,,,
133,build my own!,1,19,FALSE,50,7,2,129,129,80.96,,,,,,,,,
134,build my own!,1,19,FALSE,50,7,2,129,129,80.88,,,,,,,,,
137,build my own!,1,19,FALSE,50,7,2,121,121,76.88,,,,,,,,,
136,build my own!,1,19,FALSE,50,7,2,139,139,90.04,,,,,,,,,
135,build my own!,1,19,FALSE,50,7,2,132,132,86.18,,,,,,,,,
139,build my own!,1,19,FALSE,50,7,2,136,136,88.66,,,,,,,,,
141,build my own!,1,19,FALSE,50,7,2,129,129,80.3,,,,,,,,,
138,build my own!,1,19,FALSE,50,7,2,125,125,78.12,,,,,,,,,
140,build my own!,1,19,FALSE,50,7,2,141,141,92.4,,,,,,,,,
142,build my own!,1,19,FALSE,50,7,2,124,124,82.42,,,,,,,,,
145,build my own!,1,19,FALSE,50,7,2,123,123,77.68,,,,,,,,,
143,build my own!,1,19,FALSE,50,7,2,131,131,88.86,,,,,,,,,
144,build my own!,1,19,FALSE,50,7,2,120,120,77.96,,,,,,,,,
146,build my own!,1,19,FALSE,50,7,2,132,132,83.42,,,,,,,,,
148,build my own!,1,19,FALSE,50,7,2,128,128,83.82,,,,,,,,,
147,build my own!,1,19,FALSE,50,7,2,135,135,87.9,,,,,,,,,
149,build my own!,1,19,FALSE,50,7,2,129,129,83.98,,,,,,,,,
151,build my own!,1,19,FALSE,50,7,4,114,114,67.46,,,,,,,,,
152,build my own!,1,19,FALSE,50,7,4,113,113,64.9,,,,,,,,,
150,build my own!,1,19,FALSE,50,7,2,122,122,77.72,,,,,,,,,
153,build my own!,1,19,FALSE,50,7,4,111,111,69.2,,,,,,,,,
154,build my own!,1,19,FALSE,50,7,4,106,106,62.7,,,,,,,,,
155,build my own!,1,19,FALSE,50,7,4,107,107,65.64,,,,,,,,,
156,build my own!,1,19,FALSE,50,7,4,111,111,65.04,,,,,,,,,
158,build my own!,1,19,FALSE,50,7,4,114,114,67.9,,,,,,,,,
159,build my own!,1,19,FALSE,50,7,4,120,120,71.06,,,,,,,,,
157,build my own!,1,19,FALSE,50,7,4,114,114,69.12,,,,,,,,,
160,build my own!,1,19,FALSE,50,7,4,117,117,71.4,,,,,,,,,
161,build my own!,1,19,FALSE,50,7,4,102,102,61.26,,,,,,,,,
162,build my own!,1,19,FALSE,50,7,4,115,115,69.14,,,,,,,,,
164,build my own!,1,19,FALSE,50,7,4,115,115,68.1,,,,,,,,,
163,build my own!,1,19,FALSE,50,7,4,109,109,65.38,,,,,,,,,
166,build my own!,1,19,FALSE,50,7,4,110,110,62.62,,,,,,,,,
165,build my own!,1,19,FALSE,50,7,4,121,121,73.2,,,,,,,,,
167,build my own!,1,19,FALSE,50,7,4,116,116,69.22,,,,,,,,,
168,build my own!,1,19,FALSE,50,7,4,110,110,63.3,,,,,,,,,
169,build my own!,1,19,FALSE,50,7,4,115,115,69.18,,,,,,,,,
170,build my own!,1,19,FALSE,50,7,4,114,114,66.04,,,,,,,,,
171,build my own!,1,19,FALSE,50,7,4,115,115,71.2,,,,,,,,,
172,build my own!,1,19,FALSE,50,7,4,110,110,63.86,,,,,,,,,
173,build my own!,1,19,FALSE,50,7,4,109,109,64.68,,,,,,,,,
175,build my own!,1,19,FALSE,50,7,4,111,111,66.92,,,,,,,,,
174,build my own!,1,19,FALSE,50,7,4,116,116,69.72,,,,,,,,,
176,build my own!,1,19,FALSE,50,7,6,106,106,60.14,,,,,,,,,
177,build my own!,1,19,FALSE,50,7,6,106,106,64.56,,,,,,,,,
178,build my own!,1,19,FALSE,50,7,6,105,105,60.64,,,,,,,,,
179,build my own!,1,19,FALSE,50,7,6,116,116,65.68,,,,,,,,,
181,build my own!,1,19,FALSE,50,7,6,109,109,61.82,,,,,,,,,
182,build my own!,1,19,FALSE,50,7,6,116,116,64.06,,,,,,,,,
180,build my own!,1,19,FALSE,50,7,6,111,111,65.96,,,,,,,,,
183,build my own!,1,19,FALSE,50,7,6,105,105,57.4,,,,,,,,,
184,build my own!,1,19,FALSE,50,7,6,100,100,56.34,,,,,,,,,
185,build my own!,1,19,FALSE,50,7,6,116,116,69.28,,,,,,,,,
187,build my own!,1,19,FALSE,50,7,6,102,102,60.62,,,,,,,,,
186,build my own!,1,19,FALSE,50,7,6,108,108,60.02,,,,,,,,,
188,build my own!,1,19,FALSE,50,7,6,108,108,64.18,,,,,,,,,
190,build my own!,1,19,FALSE,50,7,6,106,106,59.86,,,,,,,,,
189,build my own!,1,19,FALSE,50,7,6,110,110,63.4,,,,,,,,,
191,build my own!,1,19,FALSE,50,7,6,109,109,65.52,,,,,,,,,
192,build my own!,1,19,FALSE,50,7,6,111,111,65.18,,,,,,,,,
193,build my own!,1,19,FALSE,50,7,6,109,109,54.66,,,,,,,,,
194,build my own!,1,19,FALSE,50,7,6,114,114,67.1,,,,,,,,,
195,build my own!,1,19,FALSE,50,7,6,106,106,60.52,,,,,,,,,
196,build my own!,1,19,FALSE,50,7,6,108,108,60.9,,,,,,,,,
197,build my own!,1,19,FALSE,50,7,6,108,108,62.94,,,,,,,,,
198,build my own!,1,19,FALSE,50,7,6,114,114,65.58,,,,,,,,,
200,build my own!,1,19,FALSE,50,7,6,100,100,59.28,,,,,,,,,
199,build my own!,1,19,FALSE,50,7,6,105,105,58.74,,,,,,,,,
201,build my own!,1,19,FALSE,50,7,8,108,108,62.46,,,,,,,,,
202,build my own!,1,19,FALSE,50,7,8,104,104,59.94,,,,,,,,,
203,build my own!,1,19,FALSE,50,7,8,108,108,62.4,,,,,,,,,
204,build my own!,1,19,FALSE,50,7,8,104,104,51.4,,,,,,,,,
205,build my own!,1,19,FALSE,50,7,8,110,110,66.44,,,,,,,,,
206,build my own!,1,19,FALSE,50,7,8,110,110,63.34,,,,,,,,,
207,build my own!,1,19,FALSE,50,7,8,103,103,58,,,,,,,,,
208,build my own!,1,19,FALSE,50,7,8,107,107,62.72,,,,,,,,,
209,build my own!,1,19,FALSE,50,7,8,103,103,58.04,,,,,,,,,
210,build my own!,1,19,FALSE,50,7,8,102,102,57.12,,,,,,,,,
211,build my own!,1,19,FALSE,50,7,8,106,106,61,,,,,,,,,
212,build my own!,1,19,FALSE,50,7,8,104,104,58.42,,,,,,,,,
214,build my own!,1,19,FALSE,50,7,8,114,114,61.14,,,,,,,,,
213,build my own!,1,19,FALSE,50,7,8,112,112,64.58,,,,,,,,,
215,build my own!,1,19,FALSE,50,7,8,101,101,55.9,,,,,,,,,
216,build my own!,1,19,FALSE,50,7,8,107,107,62.22,,,,,,,,,
217,build my own!,1,19,FALSE,50,7,8,107,107,59.54,,,,,,,,,
218,build my own!,1,19,FALSE,50,7,8,110,110,65.04,,,,,,,,,
219,build my own!,1,19,FALSE,50,7,8,117,117,68.24,,,,,,,,,
220,build my own!,1,19,FALSE,50,7,8,106,106,53.22,,,,,,,,,
221,build my own!,1,19,FALSE,50,7,8,107,107,61.42,,,,,,,,,
222,build my own!,1,19,FALSE,50,7,8,109,109,60.42,,,,,,,,,
223,build my own!,1,19,FALSE,50,7,8,104,104,60.64,,,,,,,,,
224,build my own!,1,19,FALSE,50,7,8,99,99,57.06,,,,,,,,,
225,build my own!,1,19,FALSE,50,7,8,103,103,58.66,,,,,,,,,
226,build my own!,1,19,FALSE,50,7,10,103,103,56.4,,,,,,,,,
227,build my own!,1,19,FALSE,50,7,10,96,96,54.68,,,,,,,,,
229,build my own!,1,19,FALSE,50,7,10,103,103,59.52,,,,,,,,,
230,build my own!,1,19,FALSE,50,7,10,104,104,57.62,,,,,,,,,
228,build my own!,1,19,FALSE,50,7,10,107,107,59.58,,,,,,,,,
231,build my own!,1,19,FALSE,50,7,10,107,107,60.62,,,,,,,,,
232,build my own!,1,19,FALSE,50,7,10,103,103,59.54,,,,,,,,,
233,build my own!,1,19,FALSE,50,7,10,112,112,66.66,,,,,,,,,
235,build my own!,1,19,FALSE,50,7,10,105,105,59.64,,,,,,,,,
234,build my own!,1,19,FALSE,50,7,10,108,108,61.36,,,,,,,,,
236,build my own!,1,19,FALSE,50,7,10,108,108,59.04,,,,,,,,,
237,build my own!,1,19,FALSE,50,7,10,98,98,55.08,,,,,,,,,
238,build my own!,1,19,FALSE,50,7,10,107,107,56.88,,,,,,,,,
239,build my own!,1,19,FALSE,50,7,10,119,119,66.38,,,,,,,,,
240,build my own!,1,19,FALSE,50,7,10,107,107,55.6,,,,,,,,,
241,build my own!,1,19,FALSE,50,7,10,101,101,54.94,,,,,,,,,
242,build my own!,1,19,FALSE,50,7,10,106,106,53.62,,,,,,,,,
243,build my own!,1,19,FALSE,50,7,10,110,110,61.6,,,,,,,,,
244,build my own!,1,19,FALSE,50,7,10,108,108,61.86,,,,,,,,,
245,build my own!,1,19,FALSE,50,7,10,107,107,64.48,,,,,,,,,
246,build my own!,1,19,FALSE,50,7,10,109,109,57.84,,,,,,,,,
247,build my own!,1,19,FALSE,50,7,10,106,106,58.2,,,,,,,,,
248,build my own!,1,19,FALSE,50,7,10,106,106,57.52,,,,,,,,,
249,build my own!,1,19,FALSE,50,7,10,105,105,58.5,,,,,,,,,
250,build my own!,1,19,FALSE,50,7,10,113,113,67.92,,,,,,,,,
252,build my own!,1,19,FALSE,100,7,2,209,209,116.11,,,,,,,,,
253,build my own!,1,19,FALSE,100,7,2,196,196,110.53,,,,,,,,,
251,build my own!,1,19,FALSE,100,7,2,198,198,113.11,,,,,,,,,
254,build my own!,1,19,FALSE,100,7,2,206,206,114.47,,,,,,,,,
255,build my own!,1,19,FALSE,100,7,2,203,203,113.41,,,,,,,,,
258,build my own!,1,19,FALSE,100,7,2,209,209,117.6,,,,,,,,,
256,build my own!,1,19,FALSE,100,7,2,218,218,123.81,,,,,,,,,
257,build my own!,1,19,FALSE,100,7,2,205,205,115.17,,,,,,,,,
259,build my own!,1,19,FALSE,100,7,2,197,197,114.54,,,,,,,,,
260,build my own!,1,19,FALSE,100,7,2,200,200,115.2,,,,,,,,,
261,build my own!,1,19,FALSE,100,7,2,207,207,115.28,,,,,,,,,
